designation (in. x lb/ft),area (in2),depth (in.),web_thickness (in.),flange_width (in.),flange_thickness (in.),Ixx (in4),Sxx (in3),rxx (in.),Iyy (in4),Syy (in3),ryy (in.)
W24 X 104,30.6,24.06,0.5,12.75,0.75,3100.0,258.0,10.1,259.0,40.7,2.91
W24 X 94,27.7,24.31,0.515,9.065,0.875,2700.0,222.0,9.87,109.0,24.0,1.98
W24 X 84,24.7,24.1,0.47,9.02,0.77,2370.0,196.0,9.79,94.4,20.9,1.95
W24 X 76,22.4,23.92,0.44,8.99,0.68,2100.0,176.0,9.69,82.5,18.4,1.92
W24 X 68,20.1,23.73,0.415,8.965,0.585,1830.0,154.0,9.55,70.4,15.7,1.87
W24 X 62,18.2,23.74,0.43,7.04,0.59,1550.0,131.0,9.23,34.5,9.8,1.38
W24 X 55,16.2,23.57,0.395,7.005,0.505,1350.0,114.0,9.11,29.1,8.3,1.34
W18 X 65,19.1,18.35,0.45,7.59,0.75,1070.0,117.0,7.49,54.8,14.4,1.69
W18 X 60,17.6,18.24,0.415,7.555,0.695,984.0,108.0,7.47,50.1,13.3,1.69
W18 X 55,16.2,18.11,0.39,7.53,0.63,890.0,98.3,7.41,44.9,11.9,1.67
W18 X 50,14.7,17.99,0.355,7.495,0.57,800.0,88.9,7.38,40.1,10.7,1.65
W18 X 46,13.5,18.06,0.36,6.06,0.605,712.0,78.8,7.25,22.5,7.43,1.29
W18 X 40,11.8,17.9,0.315,6.015,0.525,612.0,68.4,7.21,19.1,6.35,1.27
W18 X 35,10.3,17.7,0.3,6.0,0.425,510.0,57.6,7.04,15.3,5.12,1.22
W16 X 57,16.8,16.43,0.43,7.12,0.715,758.0,92.2,6.72,43.1,12.1,1.6
W16 X 50,14.7,16.26,0.38,7.07,0.63,659.0,81.0,6.68,37.2,10.5,1.59
W16 X 45,13.3,16.13,0.345,7.035,0.565,586.0,72.7,6.65,32.8,9.34,1.57
W16 X 36,10.6,15.86,0.295,6.985,0.43,448.0,56.5,6.51,24.5,7.0,1.52
W16 X 31,9.12,15.88,0.275,5.525,0.44,375.0,47.2,6.41,12.4,4.49,1.17
W16 X 26,7.68,15.69,0.25,5.5,0.345,301.0,38.4,6.26,9.59,3.49,1.12
W14 X 53,15.6,13.92,0.37,8.06,0.66,541.0,77.8,5.89,57.7,14.3,1.92
W14 X 43,12.6,13.66,0.305,7.995,0.53,428.0,62.7,5.82,45.2,11.3,1.89
W14 X 38,11.2,14.1,0.31,6.77,0.515,385.0,54.6,5.87,26.7,7.88,1.55
W14 X 34,10.0,13.98,0.285,6.745,0.455,340.0,48.6,5.83,23.3,6.91,1.53
W14 X 30,8.85,13.84,0.27,6.73,0.385,291.0,42.0,5.73,19.6,5.82,1.49
W14 X 26,7.69,13.91,0.255,5.025,0.42,245.0,35.3,5.65,8.91,3.54,1.08
W14 X 22,6.49,13.74,0.23,5.0,0.335,199.0,29.0,5.54,7.0,2.8,1.04
W12 X 87,25.6,12.53,0.515,12.125,0.81,740.0,118.0,5.38,241.0,39.7,3.07
W12 X 50,14.7,12.19,0.37,8.08,0.64,394.0,64.7,5.18,56.3,13.9,1.96
W12 X 45,13.2,12.06,0.335,8.045,0.575,350.0,58.1,5.15,50.0,12.4,1.94
W12 X 26,7.65,12.22,0.23,6.49,0.38,204.0,33.4,5.17,17.3,5.34,1.51
W12 X 22,6.48,12.31,0.26,4.03,0.425,156.0,25.4,4.91,4.66,2.31,0.847
W12 X 16,4.71,11.99,0.22,3.99,0.265,103.0,17.1,4.67,2.82,1.41,0.773
W12 X 14,4.16,11.91,0.2,3.97,0.225,88.6,14.9,4.62,2.36,1.19,0.753
