designation (mm x kg/m),area (mm2),depth (mm),web_thickness (mm),flange_width (mm),flange_thickness (mm),Ixx (mm4),Sxx (mm3),rxx (mm),Iyy (mm4),Syy (mm3),ryy (mm)
W610 X 155,19800.0,611,12.7,324,19.0,1290000000.0,4220000.0,255.0,108000000.0,667000.0,73.9
W610 X 140,17900.0,617,13.1,230,22.2,1120000000.0,3630000.0,250.0,45100000.0,392000.0,50.2
W610 X 125,15900.0,612,11.9,229,19.6,985000000.0,3220000.0,249.0,39300000.0,343000.0,49.7
W610 X 113,14400.0,608,11.2,228,17.3,875000000.0,2880000.0,247.0,34300000.0,301000.0,48.8
W610 X 101,12900.0,603,10.5,228,14.9,764000000.0,2530000.0,243.0,29500000.0,259000.0,47.8
W610 X 92,11800.0,603,10.9,179,15.0,646000000.0,2140000.0,234.0,14400000.0,161000.0,34.9
W610 X 82,10500.0,599,10.0,178,12.8,560000000.0,1870000.0,231.0,12100000.0,136000.0,33.9
W460 X 97,12300.0,466,11.4,193,19.0,445000000.0,1910000.0,190.0,22800000.0,236000.0,43.1
W460 X 89,11400.0,463,10.5,192,17.7,410000000.0,1770000.0,190.0,20900000.0,218000.0,42.8
W460 X 82,10400.0,460,9.91,191,16.0,370000000.0,1610000.0,189.0,18600000.0,195000.0,42.3
W460 X 74,9460.0,457,9.02,190,14.5,333000000.0,1460000.0,188.0,16600000.000000002,175000.0,41.9
W460 X 68,8730.0,459,9.14,154,15.4,297000000.0,1290000.0,184.0,9410000.0,122000.0,32.8
W460 X 60,7590.0,455,8.0,153,13.3,255000000.0,1120000.0,183.0,7960000.0,104000.0,32.4
W460 X 52,6640.0,450,7.62,152,10.8,212000000.0,942000.0,179.0,6340000.0,83400.0,30.9
W410 X 85,10800.0,417,10.9,181,18.2,315000000.0,1510000.0,171.0,18000000.0,199000.0,40.8
W410 X 74,9510.0,413,9.65,180,16.0,275000000.0,1330000.0,170.0,15600000.0,173000.0,40.5
W410 X 67,8560.0,410,8.76,179,14.4,245000000.0,1200000.0,169.0,13800000.0,154000.0,40.2
W410 X 53,6820.0,403,7.49,177,10.9,186000000.0,923000.0,165.0,10100000.0,114000.0,38.5
W410 X 46,5890.0,403,6.99,140,11.2,156000000.0,774000.0,163.0,5140000.0,73400.0,29.5
